City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
506,Searcy,US,35.2506,-91.7363,82.15,68,0,9.22,clear sky
507,Pisco,PE,-13.7,-76.2167,69.85,73,0,16.11,clear sky
508,Lagoa,PT,39.05,-27.9833,57.81,74,2,19.08,clear sky
509,Hervey Bay,AU,-25.2986,152.8535,75.02,75,100,8.01,overcast clouds
510,Udachnyy,RU,66.4167,112.4,10.17,93,58,2.48,broken clouds
511,Wattegama,LK,6.7989,81.4808,74.61,95,46,2.44,scattered clouds
512,Faridpur,BD,23.6,89.8333,80.11,86,1,7.74,clear sky
513,Sitka,US,57.0531,-135.33,48.09,71,100,5.75,overcast clouds
514,Bodaybo,RU,57.8506,114.1933,28.63,83,100,3.47,overcast clouds
515,Vostok,RU,46.4856,135.8833,41.79,33,59,3.98,broken clouds
516,Penzance,GB,50.1186,-5.5371,52.66,85,99,7.76,overcast clouds
517,Peniche,PT,39.3558,-9.3811,54.45,92,37,4.83,scattered clouds
518,Jupiter,US,26.9342,-80.0942,80.62,52,5,7.0,clear sky
519,Te Anau,NZ,-45.4167,167.7167,55.53,71,31,1.77,scattered clouds
520,Amapa,BR,1.0,-52.0,73.72,98,94,1.28,overcast clouds
521,Mpraeso,GH,6.5932,-0.7346,71.76,94,99,4.43,overcast clouds
522,Burnie,AU,-41.0667,145.9167,55.94,85,35,5.68,scattered clouds
523,Douglas,US,41.3,-96.167,52.86,54,100,20.71,overcast clouds
524,Orodara,BF,10.9492,-4.9342,86.13,13,22,3.91,few clouds
525,Den Helder,NL,52.9599,4.7593,49.98,73,100,18.41,overcast clouds
526,Camacha,PT,33.0833,-16.3333,62.02,77,75,12.66,broken clouds
527,Howard Springs,AU,-12.497,131.047,84.81,87,82,3.76,broken clouds
528,Emba,KZ,48.8264,58.1442,39.47,55,0,6.33,clear sky
529,Yumen,CN,40.2833,97.2,49.21,56,13,10.92,few clouds
530,Livingston,GB,55.9029,-3.5226,46.47,88,100,10.36,overcast clouds
531,Balsas,BR,-7.5325,-46.0356,75.25,87,87,2.42,overcast clouds
532,Rocky Mountain House,CA,52.3668,-114.9188,57.45,37,9,10.63,clear sky
533,Homer,US,59.6425,-151.5483,52.03,66,75,6.91,broken clouds
534,Camiri,BO,-20.05,-63.5167,75.0,72,58,7.07,broken clouds
535,Padang,ID,-0.9492,100.3543,77.05,86,100,4.23,light rain
536,Laguna,US,38.421,-121.4238,83.05,20,0,1.99,clear sky
537,Kjollefjord,NO,70.9457,27.3465,35.65,74,100,9.17,overcast clouds
538,Chiang Rai,TH,19.9167,99.9167,75.13,98,18,1.01,few clouds
539,Pocone,BR,-16.2567,-56.6228,83.91,59,100,3.62,overcast clouds
540,Kutum,SD,14.2,24.6667,77.25,10,9,6.11,clear sky
541,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,54,40,20.71,scattered clouds
542,Auki,SB,-8.7676,160.7034,83.7,70,82,1.97,broken clouds
543,Canatlan,MX,24.5167,-104.7833,85.53,8,3,22.12,clear sky
544,Vanino,RU,49.0869,140.2543,40.32,53,8,10.67,clear sky
545,Sola,VU,-13.8833,167.55,80.98,71,99,3.83,overcast clouds
546,Hofn,IS,64.2539,-15.2082,42.01,91,98,5.41,overcast clouds
547,The Valley,AI,18.217,-63.0578,77.83,69,20,8.05,few clouds
548,Channel-Port Aux Basques,CA,47.5702,-59.1367,38.71,87,100,19.62,overcast clouds
549,Kingaroy,AU,-26.5333,151.8333,62.64,100,100,9.22,overcast clouds
550,Mayo,US,38.8876,-76.5119,75.25,62,0,11.5,clear sky
551,Victor Harbor,AU,-35.5667,138.6167,61.68,63,99,7.58,overcast clouds
552,Wilmington Island,US,32.0036,-80.9737,75.29,66,0,6.91,clear sky
553,Kampot,KH,10.6167,104.1833,78.85,83,62,2.57,light rain
554,Kailua,US,21.4022,-157.7394,84.18,65,20,13.8,few clouds
555,Ascension,US,30.2169,-90.9001,84.2,72,0,14.97,clear sky
556,Bahia Blanca,AR,-38.7196,-62.2724,70.86,56,99,14.47,overcast clouds
557,North Port,US,27.0442,-82.2359,84.24,59,14,10.49,few clouds
558,Port Hawkesbury,CA,45.6169,-61.3485,37.18,93,100,12.66,overcast clouds
559,Bambanglipuro,ID,-7.95,110.2833,77.11,89,100,3.65,overcast clouds
560,Turukhansk,RU,65.8167,87.9833,8.94,97,100,4.14,overcast clouds
561,Broome,US,42.2506,-75.833,77.77,38,0,8.05,clear sky
562,Cooma,AU,-36.2333,149.1333,44.37,100,100,8.05,overcast clouds
563,Sault Sainte Marie,CA,46.5168,-84.3333,59.56,87,75,9.22,broken clouds
564,Ostrovnoy,RU,68.0531,39.5131,34.02,96,100,12.41,overcast clouds
565,Calnali,MX,20.9167,-98.5833,78.85,47,6,6.04,clear sky
566,Maragogi,BR,-9.0122,-35.2225,78.6,82,100,10.58,overcast clouds
567,Brufut,GM,13.3814,-16.7518,75.43,62,0,17.2,clear sky
568,Urengoy,RU,65.9667,78.3667,1.47,99,98,5.32,overcast clouds
569,Katsuura,JP,35.1333,140.3,65.3,80,74,0.89,broken clouds
570,Okato,NZ,-39.2,173.8833,65.91,68,63,2.95,broken clouds
571,Saint-Francois,FR,46.4154,3.9054,53.04,87,100,4.61,overcast clouds
572,Sitamau,IN,24.0167,75.35,83.52,16,0,10.02,clear sky
573,Afua,BR,-0.1567,-50.3867,76.08,95,95,4.14,overcast clouds
574,Brewster,US,41.3973,-73.6171,60.08,55,0,11.5,clear sky
575,Tromso,NO,69.6496,18.957,37.42,93,75,6.91,broken clouds
576,Moultrie,US,31.1799,-83.7891,81.82,47,40,0.0,scattered clouds
577,Nachalovo,RU,46.338,48.2013,46.33,93,95,4.47,overcast clouds
578,Shakiso,ET,5.75,38.9167,59.95,97,83,1.12,light rain
579,Kaseda,JP,31.4167,130.3167,68.05,86,63,4.03,broken clouds
580,Chicama,PE,-7.8447,-79.1469,61.34,74,39,8.28,scattered clouds
581,Boden,SE,65.8252,21.6886,32.0,97,100,1.36,overcast clouds
