City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Roebourne,AU,2022-04-20 20:23:40,-20.7833,117.1333,82.72,40,43,9.28
270,Zhirnov,RU,2022-04-20 20:23:41,48.1709,41.1261,44.35,74,0,12.75
271,Nelson Bay,AU,2022-04-20 20:23:42,-32.7167,152.15,56.08,86,0,7.36
272,Melita,CA,2022-04-20 20:23:42,49.2681,-100.9967,38.53,100,99,11.74
273,Zhanakorgan,KZ,2022-04-20 20:23:43,43.9098,67.2495,63.99,65,96,4.45
274,Pacific Grove,US,2022-04-20 20:23:43,36.6177,-121.9166,67.33,61,0,9.22
275,Pringsewu,ID,2022-04-20 20:23:44,-5.3582,104.9744,73.92,98,100,1.03
276,Antofagasta,CL,2022-04-20 20:23:45,-23.65,-70.4,65.48,72,35,8.95
277,Yerbogachen,RU,2022-04-20 20:23:45,61.2767,108.0108,11.1,96,35,3.53
278,Waipawa,NZ,2022-04-20 20:24:46,-41.4122,175.5153,60.06,81,95,7.85
279,Anloga,GH,2022-04-20 20:24:46,5.7947,0.8973,83.12,82,4,11.5
280,Yaan,NG,2022-04-20 20:24:47,7.3833,8.5667,87.53,53,32,6.78
281,Te Anau,NZ,2022-04-20 20:24:47,-45.4167,167.7167,58.51,93,95,4.5
282,Pandan,PH,2022-04-20 20:24:48,14.0453,124.1694,78.85,86,23,5.66
283,Leshukonskoye,RU,2022-04-20 20:24:49,64.8989,45.7622,22.03,96,24,3.38
284,Pulwama,IN,2022-04-20 20:24:49,33.874,74.8996,50.79,89,27,2.53
285,Bilecik,TR,2022-04-20 20:24:50,40.0,30.1667,49.89,60,3,6.06
286,Ulma,DE,2022-04-20 20:24:51,48.3984,9.9916,44.49,63,0,4.23
287,Kaitangata,NZ,2022-04-20 20:24:51,-46.2817,169.8464,56.95,99,80,1.59
288,Assiniboia,CA,2022-04-20 20:24:52,49.6334,-105.9845,30.02,74,100,31.07
289,Jiazi,CN,2022-04-20 20:24:52,22.8779,116.067,67.89,87,100,5.46
290,Mount Isa,AU,2022-04-20 20:24:53,-20.7333,139.5,71.37,23,3,10.36
291,Awjilah,LY,2022-04-20 20:24:54,29.1081,21.2869,69.21,21,0,8.32
292,Ostrovnoy,RU,2022-04-20 20:24:54,68.0531,39.5131,32.67,92,100,7.38
